TN	PH	Organic	AN	Enterobacteriaceae	Pseudomonas	Caulobacteraceae	Terribacillus	Sphingobacteriunm	Burkholderiaceae	Micrococcales	Chryseobacterium	Cronobacter	Bacillus	Nanoarchaeaeota	Flavobacterium
1	0.657418719492853	8.09836691711098	8.13843125011772	7.22660716157407	3.08966828510165	7.84177443012595	5.11693977518007	8.90022571431473	8.19654438644648	1.49677716428414	9.47470818180591	1.10979912569746	9.53107961220667	7.87217150442302	5.76474149245769	6.90263149794191
2	1.03921910747886	8.25264582643285	1.22377905063331	7.8440785780549	7.31681073782966	4.49962196638808	0.50966207170859	6.00394705543295	1.73560798866674	4.38511927146465	4.59056560648605	6.05997018283233	1.43501925980672	0.155168115161359	2.89208655944094	7.27663045749068
3	9.3811858468689	0.380835856776685	7.81703399028629	0.374867296777666	9.95638922788203	4.46451005060226	9.73462753230706	3.19997563259676	1.08101486228406	7.40853479597718	2.46045007836074	3.25279407668859	6.66596594033763	5.19560902845114	7.00956931803375	6.552869300358
4	9.39172213897109	8.1930664437823	2.02031781431288	2.01261537149549	4.55086637288332	7.30111550772563	1.58046294469386	6.5362471435219	4.20516964513808	9.38773135421798	5.31766138505191	8.61253499286249	9.43008679896593	8.11107259942219	5.90875950176269	6.86641436070204
5	9.1085165925324	4.81779734604061	8.26881796121597	3.32104755565524	6.95207372074947	4.93463017046452	7.98847269266844	2.48812600504607	0.667087754700333	7.80193056212738	7.44408481288701	2.412398327142	4.42510735243559	7.77152864728123	0.690098099876195	2.58844205411151
6	1.44561163149774	2.26449706591666	0.216464321129024	5.66964805591851	9.44656757870689	1.07250792905688	1.55526260146871	8.42418205691501	6.35189173743129	8.36730829207227	1.5399575419724	3.00135805504397	4.60061255376786	9.70718742115423	2.52642275998369	3.0609465832822
7	1.99654555413872	3.46468588337302	1.81727139744908	0.10931215249002	4.63808591011912	9.20603174250573	4.26478700013831	9.5509513723664	5.13776201056316	6.24004120007157	8.66649573668838	2.50034752069041	8.26141228200868	6.12558288499713	0.618776518385857	4.66622527921572
8	6.61923291394487	1.42848423682153	4.86530248774216	0.853019708301872	7.06742706242949	2.40201985230669	1.91985592013225	4.54561713850126	5.69845452206209	1.29781133960932	6.4468790916726	7.13619866874069	6.79757409263402	3.07055345969275	6.712264677044	3.62948970636353
9	2.51468984177336	4.49052223004401	9.92000335128978	4.6296559041366	8.36152115603909	6.53519028099254	7.03097133897245	9.38566033029929	6.1267568427138	1.49608761770651	9.83851720811799	0.106387680862099	2.92705954518169	2.63427212834358	1.85010800836608	4.46851053275168
10	8.36280291434377	0.816859360784292	1.83745437767357	4.49913740158081	0.487741981633008	8.8426085235551	8.00710202893242	1.82398959295824	4.62177668930963	6.21104315156117	1.60317560657859	4.26265541929752	6.20732734212652	6.43030459061265	8.65497360471636	9.83301868895069
